Datetime,Collection_Slug,Floor_Price
26/12/2021 02:10,billionairezombiesclub,0.074999
26/12/2021 02:10,boredapeyachtclub,55.95
26/12/2021 02:10,adidasoriginals,0.74
26/12/2021 02:10,veefriends,9.0
26/12/2021 02:10,derace-ticket,2.74
26/12/2021 02:10,zed-run-official,0.00979
26/12/2021 02:10,derace-horses,0.795
27/12/2021 02:40,bigtime-founders,0.266
26/12/2021 02:20,slotienft,0.43
26/12/2021 02:20,billionairezombiesclub,0.074999
26/12/2021 02:20,boredapeyachtclub,55.95
26/12/2021 02:20,adidasoriginals,0.74
26/12/2021 02:20,veefriends,9.0
26/12/2021 02:20,derace-ticket,2.74
26/12/2021 02:20,zed-run-official,0.00979
26/12/2021 02:20,derace-horses,0.795
27/12/2021 02:50,bigtime-founders,0.266
26/12/2021 02:30,slotienft,0.43
26/12/2021 02:30,billionairezombiesclub,0.074999
26/12/2021 02:30,boredapeyachtclub,55.95
26/12/2021 02:30,adidasoriginals,0.74
26/12/2021 02:30,veefriends,9.0
26/12/2021 02:30,derace-ticket,2.74
26/12/2021 02:30,zed-run-official,0.00979
26/12/2021 02:30,derace-horses,0.795
26/12/2021 23:40,bigtime-founders,0.26
26/12/2021 02:40,slotienft,0.43
26/12/2021 02:40,billionairezombiesclub,0.07
26/12/2021 02:40,boredapeyachtclub,55.95
26/12/2021 02:40,adidasoriginals,0.74
26/12/2021 02:40,veefriends,9.0
26/12/2021 02:40,derace-ticket,2.74
26/12/2021 02:40,zed-run-official,0.00979
26/12/2021 02:40,derace-horses,0.795
27/12/2021 03:30,bigtime-founders,0.26
26/12/2021 02:50,slotienft,0.43
26/12/2021 02:50,billionairezombiesclub,0.07
26/12/2021 02:50,boredapeyachtclub,55.95
26/12/2021 02:50,adidasoriginals,0.74
26/12/2021 02:50,veefriends,9.0
26/12/2021 02:50,derace-ticket,2.74
26/12/2021 02:50,zed-run-official,0.00989
26/12/2021 02:50,derace-horses,0.795
27/12/2021 03:40,bigtime-founders,0.26
26/12/2021 03:00,slotienft,0.43
26/12/2021 03:00,billionairezombiesclub,0.07
26/12/2021 03:00,boredapeyachtclub,55.95
26/12/2021 03:00,adidasoriginals,0.74
26/12/2021 03:00,veefriends,9.0
26/12/2021 03:00,derace-ticket,2.74
26/12/2021 03:00,zed-run-official,0.00989
26/12/2021 03:00,derace-horses,0.795
27/12/2021 04:00,bigtime-founders,0.26
26/12/2021 03:10,slotienft,0.429
26/12/2021 03:10,billionairezombiesclub,0.07
26/12/2021 03:10,boredapeyachtclub,55.95
26/12/2021 03:10,adidasoriginals,0.74
26/12/2021 03:10,veefriends,9.0
26/12/2021 03:10,derace-ticket,2.74
26/12/2021 03:10,zed-run-official,0.00989
26/12/2021 03:10,derace-horses,0.795
27/12/2021 04:10,bigtime-founders,0.26
26/12/2021 03:20,slotienft,0.429
26/12/2021 03:20,billionairezombiesclub,0.07
26/12/2021 03:20,boredapeyachtclub,55.95
26/12/2021 03:20,adidasoriginals,0.74
26/12/2021 03:20,veefriends,9.0
26/12/2021 03:20,derace-ticket,2.74
26/12/2021 03:20,zed-run-official,0.00989
26/12/2021 03:20,derace-horses,0.795
27/12/2021 04:20,bigtime-founders,0.26
26/12/2021 03:30,slotienft,0.429
26/12/2021 03:30,billionairezombiesclub,0.07
26/12/2021 03:30,boredapeyachtclub,55.95
26/12/2021 03:30,adidasoriginals,0.74
26/12/2021 03:30,veefriends,9.0
26/12/2021 03:30,derace-ticket,2.74
26/12/2021 03:30,zed-run-official,0.00989
26/12/2021 03:30,derace-horses,0.795
27/12/2021 04:30,bigtime-founders,0.26
26/12/2021 03:40,slotienft,0.429
26/12/2021 03:40,billionairezombiesclub,0.07
26/12/2021 03:40,boredapeyachtclub,55.95
26/12/2021 03:40,adidasoriginals,0.73
26/12/2021 03:40,veefriends,9.0
26/12/2021 03:40,derace-ticket,2.74
26/12/2021 03:40,zed-run-official,0.009899
26/12/2021 03:40,derace-horses,0.795
27/12/2021 04:40,bigtime-founders,0.26
26/12/2021 03:50,slotienft,0.429
